QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20220302_001301	人類無法掌握的悠遠又高貴的力量。	인간이 손에 넣을 수 없는 아득하고 고귀한 힘.
QUEST_LV_0500_20220302_001302	後來消失的女神與魔神的力量，總有一天也會回來的。	이윽고 사라질 여신과 마신의 힘들도 언젠가는 되돌아 오게 돼.
QUEST_LV_0500_20220302_001303	很氣憤吧。{nl}但那也是沒辦法的。{nl}因為那是你們人類所扮演的角色。	분하겠지.{nl}그래도 어쩔 수 없어.{nl}그게 너희 인간의 역할이니까.
QUEST_LV_0500_20220302_001304	快一點！	어서 빨리요!
QUEST_LV_0500_20220302_001305	你們不能阻擋冉達們。{nl}因為她們現在必須前往無法返回的神之搖籃。	너희는 랑다들을 막아선 안 돼.{nl}그녀들은 이제 돌아올 수 없는 신의 요람으로 향해야만 하니까.
QUEST_LV_0500_20220302_001306	所以現在就按照我所希望的，把你看到的東西深深地埋在心中，回到奧維尼亞狄爾班的身邊吧。{nl}你就說什麼都沒有看到就可以了。	그러니 이제 내 바람대로 네가 본 것을 네 마음속 깊이 묻고 오위니아 딜벤에게 돌아가.{nl}아무것도 보지 못했다고 말하렴.
QUEST_LV_0500_20220302_001307	跑掉了？{nl}卡歐尼拉公主沒事嗎？	놓쳤다니요?{nl}카오닐라 공주님은 무사하신 건가요?
QUEST_LV_0500_20220302_001308	這個官邸到底發生了什麼事？	이 공관에 무슨 일이 벌어지고 있는 거죠?
QUEST_LV_0500_20220302_001309	人類不能窺視神的內心。{nl}只能聽從祂們的旨意。	인간이 신들의 마음을 들여다볼 순 없어.{nl}오직 그들 뜻만을 따르렴.
QUEST_LV_0500_20220302_001310	不能這樣什麼都沒有弄清楚後送走她們！{nl}我會沿著這條路去追她們，你去告訴公主。	이렇게 아무것도 알아내지 못하고 그녀들을 보낼 수 없어요!{nl}저는 이 길로 그녀들을 쫓아갈 테니 공주님께 전해주세요.
QUEST_LV_0500_20220302_001311	原來是你啊。{nl}什麼事情讓你這樣匆忙的過來？	당신이군요.{nl}무슨 일로 이렇게 급히 찾아오신 겁니까?
QUEST_LV_0500_20220302_001312	奧維尼亞去追冉達們了嗎？	오위니아가 랑다들을 쫓아갔단 말입니까?
QUEST_LV_0500_20220302_001313	我馬上就會離開，你先去公主那裡。	저는 곧 떠날 테니 당신은 공주님께 가주세요.
QUEST_LV_0500_20220302_001314	原來如此。{nl}我知道奧維尼亞會做出那樣的行動。{nl}應該追著冉達們去歐勒夏了吧。	그렇군요.{nl}오위니아가 그런 행동을 할 거란 건 알고 있었습니다.{nl}랑다들을 따라 오르샤로 향하겠지요.
QUEST_LV_0500_20220302_001315	但是那些冉達們並沒有去歐勒夏，而是去了王國的首都。	하지만 그 랑다들은 오르샤가 아닌 왕국의 수도로 향했습니다.
QUEST_LV_0500_20220302_001316	侵入官邸的魔族們想要的是這些冉達們前往歐勒夏。{nl}所以他們希望我活下來，讓她們平安到達歐勒夏吧。	공관에 침입한 마족들이 원하는 건 그 랑다들이 오르샤로 향하는 것.{nl}그러니 저를 살려둬서 그녀들이 무사히 오르샤에 도착하길 원했겠죠.
QUEST_LV_0500_20220302_001317	你可能不知道，冉達部族追隨魔神吉特涅，他們部族長代代傳承下來的…	당신은 모르시겠지만 랑다 부족이 마신 길티네를 추종하고 그들의 부족장들이 대대로 전승한..
QUEST_LV_0500_20220302_001318	宿命。	숙명.
QUEST_LV_0500_20220302_001319	不讓其宿命受到妨礙。{nl}是重建王國的唯一方法。	그 숙명을 방해하지 않는 것이.{nl}왕국을 재건할 수 있는 유일한 방법입니다.
QUEST_LV_0500_20220302_001320	看你的表情好像不太懂啊 。{nl}這是難免的。{nl}因為神的旨意總是超越人類的想像。{nl}無論是我還是你，在祂們的宿命論面前什麼都改變不了。	이해할 수 없다는 표정이군요.{nl}그럴 수 있습니다.{nl}신의 뜻은 언제나 인간의 상상을 초월하니까요.{nl}저도 당신도 그들의 숙명론 앞에선 그 무엇도 바꿀 수 없으니까요.
QUEST_LV_0500_20220302_001321	現在這裡沒有你可以做的事情了。{nl}給你這海圖，請去找黑歐夏將軍。{nl}她會送你去歐勒夏的。	이제 이곳에서 당신이 더 이상 할 일이 없습니다.{nl}이 해도를 드릴 테니 헤오샤 장군에게 찾아가십시오.{nl}그녀가 당신을 오르샤로 보내줄 것입니다.
QUEST_LV_0500_20220302_001322	黑歐夏	헤오샤
QUEST_LV_0500_20220302_001323	啊，是啟示者你啊。{nl}是公主派你來的嗎？	아, 계시자님이시군요.{nl}공주님이 보내셨다고요?
QUEST_LV_0500_20220302_001324	我和我的軍隊也要開始準備離開這裡了。{nl}現在就等待時機吧。	저와 제 군대도 이제 이곳을 떠날 준비를 시작할 것입니다.{nl}그때를 기다리겠습니다.
QUEST_LV_0500_20220302_001325	不久之前，公主講了關於你的事情。{nl}叫我讓你搭其它駛向歐勒夏的船…{nl}你還有聽說什麼事情嗎？	얼마 전에 공주님께서 당신에 대한 이야기를 하셨죠.{nl}오르샤로 향하는 다른 배를 태우라고 하셨는데..{nl}더 들으신 이야기가 있으십니까?
QUEST_LV_0500_20220302_001326	{nl}看你的表情應該是不知道啊。	{nl}표정을 보니 모르시는 모양이군요.
QUEST_LV_0500_20220302_001327	不久之前，官邸內曾傳出要回去歐勒夏的消息。{nl}公主將難民和入侵官邸的魔族分類之後讓他們上船。{nl}雖然兩艘船一起出發，但魔族們搭的船現在應該已經進入了尤拉泰女神的領域。{nl}那些傢伙們應該很難平安無事吧。	얼마 전에 오르샤로 돌아간다는 이야기가 공관 내에 퍼진 적이 있습니다.{nl}공주님은 피난민과 공관에 침입한 마족들을 분류해서 배에 태우셨죠.{nl}두 배는 같이 출발했지만, 마족들이 탄 배는 지금쯤 유라테 여신의 영역으로 들어갔을 겁니다.{nl}아마 녀석들은 무사하기 힘들 겁니다.
QUEST_LV_0500_20220302_001328	公主說，你搭的船要繞過尤拉泰女神的領域，平安地抵達歐勒夏。{nl}準備好之後請告訴我。{nl}這會是一段漫長的航程。	공주님은 당신이 탈 배는 유라테 여신의 영역을 우회하여 무사히 오르샤로 갈 수 있게 하라고 하시더군요.{nl}준비가 되면 말씀해주십시오.{nl}먼 항해가 될 겁니다.
QUEST_LV_0500_20220302_001329	看來卡歐尼拉公主讓你平安離開了。	카오닐라 공주가 널 무사히 보내줬구나.
QUEST_LV_0500_20220302_001330	還有尤拉泰…{nl}	그리고 유라테도..{nl}
QUEST_LV_0500_20220302_001331	現在抵達歐勒夏了，直到我再次找你為止，你就去幫助歐勒夏領主吧。	이제 오르샤에 도착했으니 내가 다시 찾을 때까지 오르샤 영주를 도와줘야 해.
QUEST_LV_0500_20220302_001332	以後不管你經歷什麼，不管遇到誰。	앞으로 네가 무엇을 겪던, 누구를 만나건.
QUEST_LV_0500_20220302_001333	我都會一直站在你的後面。	난 항상 네 뒤에 있을 거니까.
QUEST_LV_0500_20220302_001334	請一定要活下來。	살아 남아줘.
QUEST_LV_0500_20220302_001335	看來你還沒有做好活下來的準備。{nl}趕緊打開背包(F2)配戴裝備吧。	아직까지 살아남을 준비가 되지 않은 것 같구나.{nl}인벤토리(F2)를 열어서 장비를 착용하는 게 좋겠어.
QUEST_LV_0500_20220302_001336	還沒有把裝備拿出來配戴嗎？{nl}為什麼？	아직 장비를 꺼내입지 않은 거야?{nl}어째서?
QUEST_LV_0500_20220302_001337	這樣差不多應該可以從即將發生的戰鬥中存活下來了。	그 정도면 곧 있을 전투에서 살아남을 수 있을 거야.
QUEST_LV_0500_20220302_001338	我很忙，你快去找公主吧。	난 바쁘니 어서 공주님께 찾아가게.
QUEST_LV_0500_20220302_001339	你說的那個難民…{nl}今天早上有和我一起吃早餐。{nl}怎麽會發生這樣的事情…	당신이 말한 그 피난민...{nl}오늘 아침에 저와 아침 식사를 했어요.{nl}어떻게 이런 일이..
QUEST_LV_0500_20220302_001340	啟示者。{nl}我把上次從亞夏克地牢回收的證據交給王室了。	계시자님.{nl}지난번 아샤크 지하감옥에서 회수했던 증거물들을 왕실에 전달했습니다.
QUEST_LV_0500_20220302_001341	最後，為了對抗攻擊奇雷恩地方和歐勒夏的觀看者軍力，我們再次拿起了劍。{nl}拉民大將軍率領王國軍對觀看者的大本營德慕爾展開了大規模的攻擊。	그리고 마침내, 키렌 지방과 오르샤를 공격한 주시자의 군세에 맞서기 위해 우리는 다시금 검을 쥐었습니다.{nl}주시자의 본거지인 델무어를 향해 라민 대장군이 이끄는 왕국군이 대대적인 공격을 개시했습니다.
QUEST_LV_0500_20220302_001342	現在這個時候應該已經進行了幾次大大小小的戰鬥。{nl}在開始攻擊前，與攻擊隊會合的帕亞烏塔為了邀你加入而來到了此地。	지금쯤이면, 크고 작은 전투가 몇 차례 치러진 후일 겁니다.{nl}공격에 앞서서 공격대에 합류한 파야우타씨께서 당신께 합류해 달라는 부탁을 남기기 위해 이곳에 들렀습니다.
QUEST_LV_0500_20220302_001343	啟示者。{nl}你受到許多人的尊敬，而對敵人來說則是敬畏的對象。{nl}身為歐勒夏的領主，我懇切地請求你務必幫忙守護奇雷恩地方。	계시자님.{nl}당신께서는 많은 이들에게 존경의 대상으로, 적에게는 경외의 대상입니다.{nl}부디, 키렌 지방의 수호를 위해 힘써주시길 오르샤의 영주로서 간곡히 부탁드리겠습니다.
QUEST_LV_0500_20220302_001344	感謝你做了這麼重大的決定。{nl}我一定會報答你的犧牲與付出。	크나큰 결정을 해주셔서 감사합니다.{nl}당신의 희생과 노고에 반드시 보답하겠습니다.
QUEST_LV_0500_20220302_001345	穿過現在的奇勒提瑪斯森林就能抵達德慕爾出入口的德慕爾佃農村了。{nl}德慕爾外城與蓮帕拉沙池塘銜接，可直接到德慕爾外城的補給路線受到戰爭波及已經中斷了。	델무어의 초입지인 델무어 소작촌은 현재 키르티마스 숲을 지나 도달하실 수 있을 겁니다.{nl}렘파라사 연못과 연결된 델무어 외성으로 곧바로 갈 수 있는 보급로는 전투의 여파로 차단되어 버렸습니다.
QUEST_LV_0500_20220302_001346	那請你務必平安。	그럼 부디 무사하시길 바랍니다.
QUEST_LV_0500_20220302_001347	穿過現在的奇勒提瑪斯森林就能抵達德慕爾出入口的德慕爾佃農村了。{nl}德慕爾外城與蓮帕拉沙池塘銜接，可直接到德慕爾外城的補給路線現在受到戰爭波及已經中斷了。	델무어의 초입지인 델무어 소작촌은 현재 키르티마스 숲을 지나 도달하실 수 있을 겁니다.{nl}렘파라사 연못과 연결된 델무어 외성으로 곧바로 갈 수 있는 보급로는 현재는 전투의 여파로 차단되어 버렸습니다.
QUEST_LV_0500_20220302_001348	原來你就是帕亞烏塔所說的啟示者。{nl}很榮幸見到你。	당신이 파야우타씨 께서 말씀하신 계시자로군요.{nl}뵙게 되어 영광입니다.
QUEST_LV_0500_20220302_001349	我經常聽說你的事蹟。{nl}但這裡是戰場，我們還是下次再閒聊吧。	당신의 이야기라면 익히 들었습니다.{nl}하지만 여긴 전쟁터이니 사담은 다음을 기약하기로 하죠.
QUEST_LV_0500_20220302_001350	帕亞烏塔說只有你才能為這場戰爭劃下休止符。	파야우타씨께서는 당신만이 이 전쟁의 종지부를 찍을 수 있는 사람이라고 말했습니다.
QUEST_LV_0500_20220302_001351	我一直守在此處等待你的到來。{nl}不過在敵人的攻勢下我們沒能支撐太久。	저는 여기서 당신을 맞이하기 위해 이곳을 지키고 있었습니다.{nl}하지만 적들의 공세에 오래 버티지는 못했습니다.
QUEST_LV_0500_20220302_001352	戰火持續不斷的狀況下士兵們又四散了。{nl}送啟示者你一個人進去不難，但戰爭的勝利也很重要。	난전이 계속되고 있고 와중에 병사들이 흩어져 버렸습니다.{nl}계시자님 한 분을 안쪽으로 들여보내기는 어렵지 않겠지만, 전쟁에서의 승리도 중요합니다.
QUEST_LV_0500_20220302_001353	必須重新集結四散的士兵們增援本部。{nl}可以先和我一起整頓此地嗎?	흩어진 병사들을 다시 합류시키고 본대를 증원할 필요가 있습니다.{nl}우선 저와 함께 이곳 상황을 정리해주시겠습니까?
QUEST_LV_0500_20220302_001354	趕緊尋找四散的士兵吧。	서둘러 흩어진 병사들을 찾죠.
QUEST_LV_0500_20220302_001355	士兵們似乎陷入了苦戰。{nl}所幸應該不會影響戰鬥。	병사들이 꽤 고전 중이었나 보군요.{nl}다행히 전투에는 지장이 없을 거 같습니다.
QUEST_LV_0500_20220302_001356	還有更多四散的士兵。{nl}先從鄰近的據點開始找起吧。	아직 흩어진 병사들이 더 많습니다.{nl}가까운 지점부터 찾아보도록 하죠.
QUEST_LV_0500_20220302_001357	動作快吧。{nl}戰況不理想。	서두르죠.{nl}전황이 좋지 않습니다.
QUEST_LV_0500_20220302_001358	果然也有受傷的人阿。{nl}而且還有一些武器受損的士兵。	역시나 부상자도 나오고 있군요.{nl}무기가 손상된 병사들도 더러 보입니다.
QUEST_LV_0500_20220302_001359	雖然有可以戰鬥的士兵，但卻沒有武器可用。{nl}如果從{#003399}變異雪貂{/}手中奪取武器的話，應該就可以確保士兵們使用的武器了。	싸울 수 있는 병사들은 있지만 정작 무기들이 제구실을 못하고 있습니다.{nl}{#003399}블릭페릿{/}들에게서 무기를 탈취한다면 병사들이 쓸 무기를 확보할 수 있을 겁니다.
QUEST_LV_0500_20220302_001360	如果從{#003399}變異雪貂{/}手中奪取武器的話，應該就可以確保士兵們使用的武器了。	{#003399}블릭페릿{/}들에게서 무기를 탈취한다면 병사들이 쓸 무기를 확보할 수 있을 겁니다.
QUEST_LV_0500_20220302_001361	這些應該很夠用了。	이 정도면 부족하지 않을 겁니다.
QUEST_LV_0500_20220302_001362	德慕爾佃農村內似乎聚集了大部分四散的士兵。{nl}多虧了啟示者才能入手武器，雖然不算太多，但戰力可以說是恢復了吧。	델무어 소작촌에서 흩어진 병사들은 대부분 모인 거 같습니다.{nl}계시자님 덕에 부족한 무기도 확보할 수 있었으니 미약하지만, 전력을 회복했다고 볼 수 있겠군요.
QUEST_LV_0500_20220302_001363	隨著我們的行動，敵人們也開始行動起來了。{nl}不管怎麼說，我們在數量上還是處於劣勢，如果敵人開始集結的話，就無法抵擋了。	우리의 움직임에 따라 적들도 움직이기 시작한 거 같습니다.{nl}아무래도 수적으로는 열세이니 적들이 모이기 시작하면 당해낼 도리가 없습니다.
QUEST_LV_0500_20220302_001364	讓我們先消滅敵人各部之間傳遞消息的聯絡書吧。{nl}多少能拖延一點敵人們集結的時間。	적들의 무리와 무리 사이의 연락을 넘기는 연락책을 미리 제거하도록 하죠.{nl}적들이 집결할 시간을 조금이나마 벌 수 있을 겁니다.
QUEST_LV_0500_20220302_001365	那快點行動吧。	그럼 어서 움직이죠.
QUEST_LV_0500_20220302_001366	如果消滅聯絡書的話，多少能拖延一點敵人們集結的時間。	연락책들을 제거한다면 적들이 집결할 시간을 조금이나마 늦출 수 있을 겁니다.
QUEST_LV_0500_20220302_001367	畢竟是在混亂的戰場上，一定會有顯著的效果。	혼란스러운 전쟁터의 한가운데이니 확실히 효과가 있을 겁니다.
QUEST_LV_0500_20220302_001368	附近有通往德慕爾莊園的升降機。{nl}這在意外發生時會是一條退路，先確認是否可使用怎麼樣？	근처에 델무어 장원으로 가는 승강기가 있습니다.{nl}혹시 모를 위기에 퇴로가 될 수도 있을 테니 미리 확인해 보는 게 어떠십니까?
QUEST_LV_0500_20220302_001369	好。{nl}在伊薛提十字路口沿著上方的路走，就是升降機所在之處。	좋습니다.{nl}이쉰티 사거리에서 윗길을 따라가면 승강기가 있는 곳입니다.
QUEST_LV_0500_20220302_001370	在伊薛提十字路口沿著上方的路走，就是升降機所在之處。	이쉰티 사거리에서 윗길을 따라가면 승강기가 있는 곳입니다.
QUEST_LV_0500_20220302_001371	不會吧…	이런..
QUEST_LV_0500_20220302_001372	士兵們要是知道沒了退路，一定會失去鬥志的。	병사들이 퇴로가 없다는 사실을 알게 되면 전의를 잃게 될 겁니다.
QUEST_LV_0500_20220302_001373	冒出的克魯比那屏障破壞了移動裝置。	솟아난 크루비나 장벽이 이동 장치를 파괴했다
QUEST_LV_0500_20220302_001374	拿下連接德慕爾莊園的陸路是唯一的辦法。	방법은 델무어 장원으로 이어진 육로를 확보하는 방법뿐입니다.
QUEST_LV_0500_20220302_001375	有啟示者參戰，一定能給士兵們很大的力量。	계사자님 께서 참전해주신다면 병사들에게도 큰 힘이 될 겁니다.
QUEST_LV_0500_20220302_001376	我替士兵們謝謝你。	병사들을 대신하여 감사드립니다.
QUEST_LV_0500_20220302_001377	可以藉由公墓上方的路前往德慕爾莊園。{nl}去攻擊那裡。	공동묘지의 윗길을 통해 델무어 장원으로 갈 수 있습니다.{nl}그곳을 공격하죠.
QUEST_LV_0500_20220302_001378	若是沒有啟示者，士兵們的戰意不會如此高昂。	계시자님이 없었더라면 병사들도 용맹하게 싸우지 못했을 겁니다.
QUEST_LV_0500_20220302_001379	我會前往德慕爾莊園。	델무어 장원으로 이동하겠습니다.
QUEST_LV_0500_20220302_001380	那裡應該也有不少交戰中的士兵。	그곳에서도 고전 중인 병사들이 많이 있을 겁니다.
QUEST_LV_0500_20220302_001381	戰況比我想像中更不理想。	전황이 제 생각보다 안 좋습니다.
QUEST_LV_0500_20220302_001382	士兵們累了。	병사들이 지쳐있습니다.
QUEST_LV_0500_20220302_001383	我想應該是在被孤立的狀態下陷入恐慌所致。{nl}雖然是在戰場上，但需要一個能集結士兵，重新整備的場所。	아무래도 고립된 상황에서 공황을 겪은 탓일 겁니다.{nl}전장의 한가운데지만 병사들을 집결하고 재정비할 장소가 필요합니다.
QUEST_LV_0500_20220302_001384	哪怕周遭只有用殘破的物資做的簡易路障，士兵們也能稍微安心一點。	주변에 부서진 물자들을 이용한 간단한 바리케이드만 있어도 병사들이 조금은 안심할 수 있을 겁니다.
QUEST_LV_0500_20220302_001385	謝謝你連這種瑣碎的事也願意幫忙。{nl}請你找找不遠處的荒廢的苦力住所周遭。	시답지 않은 일이겠지만, 나서주셔서 감사합니다.{nl}근처에 버려진 인부 숙소 근처를 찾아보시길 바랍니다.
QUEST_LV_0500_20220302_001386	多虧你幫忙收集帳篷，有了可以讓傷兵們平躺的地方。	텐트 자재까지 모아 주신 덕에 부상병들의 몸을 누일 곳이 생겼군요.
QUEST_LV_0500_20220302_001387	現在再設置路障就可以了。	이제 바리케이드를 배치하면 되겠군요.
QUEST_LV_0500_20220302_001388	能麻煩你嗎？	그렇게 해주시겠습니까?
QUEST_LV_0500_20220302_001389	適當地設置路障，我想可以確保臨時據點的安全。	바리케이드를 적당히 배치해주시면 임시 거점의 안전을 확보할 수 있을 겁니다.
QUEST_LV_0500_20220302_001390	這些可以了。	충분합니다.
QUEST_LV_0500_20220302_001391	德慕爾莊園各處應該都有正在交戰的士兵。	델무어 장원에 곳곳에 흩어져 교전 중인 병사들이 있을 겁니다.
QUEST_LV_0500_20220302_001392	將四散的士兵們聚集到臨時據點重新整備，應該能支援後續發生的戰鬥。	흩어진 병사들을 이곳 임시 거점으로 모아 재정비한다면 추후 있을 전투를 지원할 수 있을 겁니다.
QUEST_LV_0500_20220302_001393	讓陷入恐慌的兩名士兵待在這裡實在不妥。{nl}我會留在此地加強臨時據點，啟示者你能將四散的士兵們帶過來嗎？	공황에 빠진 저 두 병사만 이곳에 두고 가기는 곤란합니다.{nl}저는 여기 남아 임시 거점을 보강할 테니 계시자님께서 흩어진 병사들을 이곳으로 보내주실 수 있겠습니까?
QUEST_LV_0500_20220302_001394	謝謝。{nl}請穿過三岔路與被埋沒的廣場，到城壁重建區域看看。	감사합니다.{nl}삼거리와 매몰된 광장을 지나 성벽 재건 구역으로 가보십시오.
QUEST_LV_0500_20220302_001395	因為地形廣闊，如果士兵們正在交戰，可以從那邊開始找。	넓은 지형이니 병사들이 교전 중이라면 그곳부터 찾아보실 수 있을 겁니다.
QUEST_LV_0500_20220302_001396	請穿過三岔路與被埋沒的廣場，到城壁重建區域看看。	삼거리와 매몰된 광장을 지나 성벽 재건 구역으로 가보십시오.
QUEST_LV_0500_20220302_001397	因為地形廣闊，如果士兵們正在交戰，可以從那邊開始找。	넓은 지형이니 병사들이 교전 중이라면 그 곳부터 찾아 보실 수 있을 겁니다.
QUEST_LV_0500_20220302_001398	差點就大事不妙了。{nl}多虧你及時趕到，才度過了危機。	하마터면 큰일 날 뻔 했군요.{nl}제때 와주신 덕에 위기를 넘겼습니다.
QUEST_LV_0500_20220302_001399	我想我得去找還留在此處尚未會合的士兵們。{nl}往前面走，大將軍率領的王國軍本部與你的同伴帕亞烏塔正在戰鬥。	아무래도 저는 여기 남아 주변에서 아직 합류하지 못한 병사들을 찾아야겠습니다.{nl}이 앞으로는 대장군께서 이끄는 왕국군의 본대와 당신의 동료인 파야우타씨가 교전 중일 겁니다.
QUEST_LV_0500_20220302_001400	你的幫忙一定會大有助益。	그렇게 해주신다면 큰 도움이 될 겁니다.
QUEST_LV_0500_20220302_001401	那再見了。	그럼, 다시 뵙겠습니다,
QUEST_LV_0500_20220302_001402	往前面走，大將軍率領的王國軍本部與你的同伴帕亞烏塔正在戰鬥。	이 앞으로는 대장군께서 이끄는 왕국군의 본대와 당신의 동료인 파야우타씨가 교전 중일 겁니다.
QUEST_LV_0500_20220302_001403	那再見了。	그럼, 다시 뵙겠습니다.
QUEST_LV_0500_20220302_001404	我們好像經常以這種方式見面。	우리는 항상 이런 식으로 만나는 거 같네.
QUEST_LV_0500_20220302_001405	來這裡的路上你應該有看見，戰況非常不理想。{nl}不過你願意過來，我安心多了。	여기까지 지나오며 봤겠지만, 상황이 마냥 좋지 않아.{nl}그래도 네가 와줬으니 안심이야.
QUEST_LV_0500_20220302_001406	大將軍與王國軍本部在更裡面的地方。{nl}我在這裡單獨行動，尋找著在此處安營紮寨的{#003399}變異雪貂{/}的據點。	대장군과 왕국군 본대는 더 안쪽에 있어.{nl}나는 여기에 거점을 잡고 있는 {#003399}블릭페릿{/}들의 거점을 찾으며 별도로 움직이고 있어.
QUEST_LV_0500_20220302_001407	那些傢伙手上一定有整個德慕爾的防禦計畫與作戰計畫書。{nl}只要能拿到手，就能扭轉不利的戰況。	녀석들이 델무어 전체의 방어 계획과 작전 계획서를 가지고 있을 거야.{nl}그것만 손에 넣는다면 불리한 전황을 뒤집을 수 있어.
QUEST_LV_0500_20220302_001408	好。{nl}先消滅在戴加倫姆入口集結的敵人吧。	좋아.{nl}데가름 진입로에 집결한 적들을 먼저 처리하자.
QUEST_LV_0500_20220302_001409	這裡的{#003399}變異雪貂{/}手上一定有整個德慕爾的防禦計畫與作戰計畫書。{nl}只要能拿到手，就能扭轉不利的戰況。	이곳의 {#003399}블릭페릿{/}들이 델무어 전체의 방어 계획과 작전 계획서를 가지고 있을 거야.{nl}그것만 손에 넣는다면 불리한 전황을 뒤집을 수 있어.
QUEST_LV_0500_20220302_001410	德慕爾佃農村與德慕爾莊園的防禦計畫…{nl}是王國軍本部已經突破的地方，應該沒有太大用處。	델무어 소작촌과 델무어 장원의 방어 계획..{nl}왕국군 본대가 이미 돌파한 곳이라 큰 소용은 없겠어.
QUEST_LV_0500_20220302_001411	至少確定了敵人手中握有防禦計畫。	적어도 적들이 방어 계획을 가지고 있다는 사실은 명확해졌네.
QUEST_LV_0500_20220302_001412	尋找敵人作為據點的地方吧。	적들이 거점으로 삼고 있는 곳을 찾자.
QUEST_LV_0500_20220302_001413	泰吉卡岔路是敵人很常經過的地方，在那裡追蹤足跡應該可以找到路。	타지카 갈림길은 적들이 많이 지나는 곳이니 그곳에서 족적을 추적해보면 길을 찾을 수 있을 거야.
QUEST_LV_0500_20220302_001414	在泰吉卡岔路調查敵人的足跡吧。	타지카 갈림길에서 적들의 족적을 조사해보자.
QUEST_LV_0500_20220302_001415	連接奧蘭集會場的足跡特別多。	유난히 오렘 집회장으로 이어지는 족적이 많아.
QUEST_LV_0500_20220302_001416	去奧蘭集會場看看吧。{nl}那裡應該有敵人的據點，或者至少也能查出點什麼。	오렘 집회장으로 가보자.{nl}그곳에 적들의 거점이 있거나, 적어도 뭔가를 알아낼 수 있을 거야.
QUEST_LV_0500_20220302_001417	快行動吧，晚了會有更多人犧牲。	서두르자, 우리가 늦으면 더 많은 사람이 희생될 거야.
QUEST_LV_0500_20220302_001418	要是有敵人的據點，最好將其摧毀。	적의 거점이 있다면 시설을 파괴하는 게 좋겠어.
QUEST_LV_0500_20220302_001419	不能放任敵人的據點不管。{nl}破壞他們的設施可以讓他們陷入混亂。	적들의 거점을 이대로 놔둘 수 없어.{nl}시설을 파괴하면 적들을 혼란에 빠뜨릴 수 있을 거야.
QUEST_LV_0500_20220302_001420	防禦計畫不在這裡，應該已經帶到其他地方了。	방어 계획은 여기에 없어 이미 다른 곳으로 가져간 거 같아.
QUEST_LV_0500_20220302_001421	上面那條路。{nl}是通往蓮帕拉沙池塘的路。	저 윗길.{nl}렘파라사 연못으로 이어지는 길이야.
QUEST_LV_0500_20220302_001422	如果那條路能通，一定會對我軍大有益處。	저 길을 쓸 수 있다면 아군에게 큰 이점이 될 거야.
QUEST_LV_0500_20220302_001423	好，行動吧。	좋아 움직이자.
QUEST_LV_0500_20220302_001424	把那條路拿下，就能使用德慕爾外城與蓮帕拉沙池塘相連的道路了。	저 길을 확보하면 델무어 외성과 렘파라사 연못이 이어진 길을 사용할 수 있어.
QUEST_LV_0500_20220302_001425	成功了，現在交給這裡的士兵們吧。	성공이야 이제 여긴 병사들에게 맡기자.
QUEST_LV_0500_20220302_001426	從周遭的足跡看來，敵人不久前才成群離開這個據點。	주변의 족적들을 보니 적들이 이 거점에서 무리 지어 떠나간 지 얼마 되지 않았어.
QUEST_LV_0500_20220302_001427	動作快點應該能追上。	서두르면 따라잡을 수 있을 거야.
QUEST_LV_0500_20220302_001428	足跡通往外城廣場。{nl}快走吧。	족적이 외성 광장을 향해 이어져 있어.{nl}어서 가자.
QUEST_LV_0500_20220302_001429	這是德慕爾外城的防禦計畫。	델무어 외성의 방어 계획이야.
QUEST_LV_0500_20220302_001430	用這個應該就能找到那些傢伙的重要據點。	이거라면 녀석들의 중요 거점을 찾을 수 있어.
QUEST_LV_0500_20220302_001431	根據計畫圖，城堡山頂上有著那些傢伙的上級據點。{nl}看規模，那裡一定有其餘的防禦計畫與作戰計畫書。	계획도에 따르면 성채 마루에 녀석들의 상부 거점이 있어.{nl}규모를 보니 나머지 방어 계획과 작전 계획서도 여기 있을 거야.
QUEST_LV_0500_20220302_001432	把城堡山頂裡的設施也破壞吧。	성채 마루에 있는 시설도 파괴하자.
QUEST_LV_0500_20220302_001433	很好，目標應該不遠了。	좋아 목표가 머지않은 거 같아.
QUEST_LV_0500_20220302_001434	目標不遠了。{nl}把城堡山頂裡的據點設施也破壞吧。	목표가 머지않았어.{nl}성채 마루에 있는 거점 시설도 파괴하자.
QUEST_LV_0500_20220302_001435	據點已消失，那些傢伙想必會很頭痛。	거점이 사라졌으니 녀석들이 꽤 곤란할 거야.
QUEST_LV_0500_20220302_001436	從那個階梯上去，就是那些傢伙的上級據點了。	저 계단을 올라가면 녀석들의 상부 거점이야.
QUEST_LV_0500_20220302_001437	若是從他們身上奪來德慕爾內城與德慕爾莊園的防禦計畫、作戰計畫書，一定能對我軍大有助益。	녀석들에게서 델무어 내성과 델무어 정원의 방어 계획, 작전 계획서를 빼앗는다면 아군에게 큰 도움이 될 거야.
QUEST_LV_0500_20220302_001438	很好。{nl}你果然是個值得信賴的人。	좋아.{nl}역시 너는 믿음직한 친구구나.
QUEST_LV_0500_20220302_001439	我剛剛發生什麼事了…？	방금 내게 무슨 일이 일어난 거지..?
